Samsung Galaxy A30,"Price in Rs: 40,999    Price in USD: $306
                                                 ",
Build,OS,Android 9.0 (Pie)                                                     
,UI,"
                                                Samsung Experience 9.5                                                 "
,Dimensions,"
                                                158.5 x 74.5 x 7.7 mm                                                 "
,Weight,"
                                                N/A                                                 "
,SIM,"
                                                Dual Sim, Dual Standby (Nano-SIM)                                                 "
,Colors,"
                                                Black, White, Silver, Blue, pink                                                 "
Frequency,2G Band,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900                                                     
,3G Band,"
                                                HSDPA 850 / 900 / 1900 / 2100                                                 "
,4G Band,"
                                                LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 38(2600), 40(2300), 41(2500)                                                 "
Processor,CPU,Octa-core (2 x 1.8 GHz Kryo 260 Gold + 6 x 1.6 GHz Kryo 260 Silver)                                                     
,Chipset,"
                                                Exynos 7904 Octa (14 nm)                                                 "
,GPU,"
                                                Mali-G71 MP2                                                 "
Display,Technology,"Super AMOLED capacitive touchscreen, 16M colors, Multitouch                                                     "
,Size,"
                                                6.4 Inches                                                 "
,Resolution,"
                                                1080 x 2340 Pixels (~403 PPI)                                                 "
,Protection,"
                                                Corning Gorilla Galss (unspecified version)                                                 "
Memory,Built-in,"64GB Built-in, 4GB RAM                                                     "
,Card,"
                                                microSD card (supports up to 512GB) (dedicated slot)                                                 "
Camera,Main,"Dual 16 MP, f/1.9, PDAF + 5 MP, f/2.2, (ultrawide), autofocus,  LED flash, LED Flash                                                     "
,Features,"
                                                Geo-tagging, touch focus, face detection, panorama, HDR, Video (1080p@30fps)                                                 "
,Front,"
                                                16 MP, f/1.9, HDR, Video (1080p@30fps)                                                 "
Connectivity,WLAN,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot                                                     "
,Bluetooth,"
                                                v5.0 with A2DP, LE                                                 "
,GPS,"
                                                Yes + A-GPS support & Glonass, BDS, GALILEO                                                 "
,Radio,"
                                                FM Radio                                                 "
,USB,"
                                                2.0, Type-C 1.0 reversible connector                                                 "
,NFC,"
                                                Yes                                                 "
,Data,"
GPRS, EDGE, 3G HSPA, 4G LTE-A                                                 "
Features,Sensors,"Accelerometer, Compass, Fingerprint (rear mounted), Gyro, Proximity                                                     "
,Audio,"
                                                3.5mm Audio Jack, MP3/WAV/WMA/eAAC+/FLAC player, MP4/WMV/H.265 player, Speaker Phone                                                 "
,Browser,"
                                                HTML5                                                 "
,Messaging,"
                                                SMS(threaded view), MMS, Email, Push Mail, IM                                                 "
,Games,"
                                                Built-in + Downloadable                                                 "
,Torch,"
                                                Yes                                                 "
,Extra,"
                                                Active noise cancellation with dedicated mic, ANT+ support, Photo/video editor, Document viewer                                                 "
Battery,Capacity,"(Li-Po Non removable), 4000 mAh                                                     "
,Talktime,"
                                                up to 23 hrs                                                 "
,,"
                                                 - Fast battery charging 15W
                                                 "
Samsung Galaxy A50,"Price in Rs: 54,999    Price in USD: $410
                                                 ",
Build,OS,Android 9.0 (Pie)                                                     
,UI,"
                                                One UI                                                 "
,Dimensions,"
                                                158.5 x 74.7 x 7.7 mm                                                 "
,Weight,"
                                                166 g                                                 "
,SIM,"
                                                Dual Sim, Dual Standby (Nano-SIM)                                                 "
,Colors,"
                                                Black, White, Blue, Coral                                                 "
Frequency,2G Band,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900                                                     
,3G Band,"
                                                HSDPA 850 / 900 / 1900 / 2100                                                 "
,4G Band,"
                                                LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 38(2600), 40(2300), 41(2500)                                                 "
Processor,CPU,Octa-core (4 x 2.3GHz cortex A-73+ 4 x 1.7GHz Cortex-A53)                                                     
,Chipset,"
                                                Exynos 9610 Octa (10nm)                                                 "
,GPU,"
                                                Mali-G72 MP3                                                 "
Display,Technology,"Super AMOLED capacitive touchscreen, 16M colors, Multitouch                                                     "
,Size,"
                                                6.4 Inches                                                 "
,Resolution,"
                                                1080 x 2340 Pixels (~403 PPI)                                                 "
,Protection,"
                                                Corning Gorilla Glass 3                                                 "
Memory,Built-in,"128GB Built-in, 4GB RAM                                                     "
,Card,"
                                                microSD card (supports up to 512GB) (dedicated slot)                                                 "
Camera,Main,"Triple camera: 25 MP, f/1.7, PDAF + 8 MP, f/2.4, (ultrawide) + 5 MP, f/2.2, depth sensor, autofocus,  LED flash                                                     "
,Features,"
                                                Geo-tagging, touch focus, face detection, panorama, HDR, Video (1080p@30fps)                                                 "
,Front,"
                                                25 MP, HDR, Video (1080p@30fps)                                                 "
Connectivity,WLAN,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot                                                     "
,Bluetooth,"
                                                v5.0 with A2DP, LE                                                 "
,GPS,"
                                                Yes + A-GPS support & Glonass, BDS, GALILEO                                                 "
,Radio,"
                                                FM Radio                                                 "
,USB,"
                                                2.0, Type-C 1.0 reversible connector                                                 "
,NFC,"
                                                Yes                                                 "
,Data,"
GPRS, EDGE, 3G HSPA, 4G LTE-A                                                 "
Features,Sensors,"Accelerometer, gyro, proximity, compass, Fingerprint (under display)                                                     "
,Audio,"
                                                3.5mm Audio Jack, MP3/WAV/WMA/eAAC+/FLAC player, MP4/WMV/H.265 player, Speaker Phone                                                 "
,Browser,"
                                                HTML5                                                 "
,Messaging,"
                                                SMS(threaded view), MMS, Email, Push Mail, IM                                                 "
,Games,"
                                                Built-in + Downloadable                                                 "
,Torch,"
                                                Yes                                                 "
,Extra,"
                                                Front glass, plastic body, Samsung Pay, Dolby Atmos sound, Active noise cancellation with dedicated mic, ANT+ support, Photo/video editor, Document viewer                                                 "
Battery,Capacity,"(Li-Po Non removable), 4000 mAh                                                     "
,Talktime,"
                                                up to 23 hrs                                                 "
,,"
                                                 - Fast battery charging 15W
                                                 "
Samsung Galaxy A70,"Price in Rs: 67,999    Price in USD: $507
                                                 ",
Build,OS,Android 9.0 (Pie)                                                     
,UI,"
                                                One UI                                                 "
,Dimensions,"
                                                164.2 x 76.7 x 7.9 mm                                                 "
,Weight,"
                                                183 g                                                 "
,SIM,"
                                                Dual Sim, Dual Standby (Nano-SIM)                                                 "
,Colors,"
                                                Coral, Blue, Black, White                                                 "
Frequency,2G Band,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900                                                     
,3G Band,"
                                                HSDPA 850 / 900 / 1900 / 2100                                                 "
,4G Band,"
                                                LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 38(2600), 40(2300), 41(2500)                                                 "
Processor,CPU,Octa-core (2 x 2.0 GHz Kryo 460 Gold + 6 x 1.7 GHz Kryo 460 Silver)                                                     
,Chipset,"
                                                Qualcomm SDM675 Snapdragon 675 (11 nm)                                                 "
,GPU,"
                                                Adreno 612                                                 "
Display,Technology,"Super AMOLED capacitive touchscreen, 16M colors, Multitouch                                                     "
,Size,"
                                                6.7 Inches                                                 "
,Resolution,"
                                                1080 x 2400 Pixels (~393 PPI)                                                 "
Memory,Built-in,"128GB Built-in, 6GB RAM                                                     "
,Card,"
                                                microSD card (supports up to 512GB) (dedicated slot)                                                 "
Camera,Main,"Triple Camera: 32 MP, f/1.7, PDAF + 8 MP, f/2.2, 12mm (ultrawide) + 5 MP, f/2.2, depth sensor, LED Flash                                                     "
,Features,"
                                                Geo-tagging, touch focus, face detection, panorama, HDR, Video (2160p@30fps, 1080p@30/240fps)                                                 "
,Front,"
                                                32 MP, f/2.0, HDR, Video (1080p@30fps)                                                 "
Connectivity,WLAN,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot                                                     "
,Bluetooth,"
                                                v5.0 with A2DP, LE                                                 "
,GPS,"
                                                Yes + A-GPS support & Glonass, BDS, GALILEO, BDS                                                 "
,Radio,"
                                                FM Radio                                                 "
,USB,"
                                                2.0, Type-C 1.0 reversible connector                                                 "
,NFC,"
                                                Yes                                                 "
,Data,"
GPRS, EDGE, 3G (HSPA 42.2/5.76 Mbps), 4G LTE-A                                                 "
Features,Sensors,"Accelerometer, gyro, proximity, compass, Fingerprint (under Display)                                                     "
,Audio,"
                                                3.5mm Audio Jack, MP3/WAV/WMA/eAAC+/FLAC player, MP4/WMV/H.265 player, Speaker Phone                                                 "
,Browser,"
                                                HTML5                                                 "
,Messaging,"
                                                SMS(threaded view), MMS, Email, Push Mail, IM                                                 "
,Games,"
                                                Built-in + Downloadable                                                 "
,Torch,"
                                                Yes                                                 "
,Extra,"
                                                Active noise cancellation with dedicated mic, ANT+ support, Photo/video editor, Document viewer                                                 "
Battery,Capacity,"(Li-Po Non removable), 4500 mAh                                                     "
,,"
                                                 - Fast battery charging 25W
                                                 "
Oppo Reno,"Price in Rs: 69,999    Price in USD: $522
                                                 ",
Build,OS,Android 9.0 (Pie)                                                     
,UI,"
                                                ColorOS 6                                                 "
,Dimensions,"
                                                156.6 x 74.3 x 9.1 mm                                                 "
,Weight,"
                                                186 g                                                 "
,SIM,"
                                                Dual Sim, Dual Standby (Nano-SIM)                                                 "
,Colors,"
                                                Jet Black, Ocean Green                                                 "
Frequency,2G Band,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900                                                     
,3G Band,"
                                                HSDPA 850 / 900 / 1900 / 2100                                                 "
,4G Band,"
                                                LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 34(2000), 38(2600), 39(1900), 40(2300), 41(2500)                                                 "
Processor,CPU,Octa-core (2 x 2.2 GHz Kryo 360 Gold + 6 x 1.7 GHz Kryo 360 Silver)                                                     
,Chipset,"
                                                Qualcomm SDM710 Snapdragon 710 (10 nm)                                                 "
,GPU,"
                                                Adreno 616                                                 "
Display,Technology,"AMOLED Capacitive Touchscreen, 16M Colors, Multitouch                                                     "
,Size,"
                                                6.4 Inches                                                 "
,Resolution,"
                                                1080 x 2340 Pixels (~403 PPI)                                                 "
,Protection,"
                                                Corning Gorilla Glass 6                                                 "
,Extra Features,"
                                                HDR10                                                 "
Memory,Built-in,"128GB Built-in, 8GB RAM                                                     "
,Card,"
                                                No                                                 "
Camera,Main,"Dual 48 MP, f/1.7, 26mm (wide), 1/2.0"", PDAF + 5 MP, f/2.4, depth sensor, Dual LED Flash                                                     "
,Features,"
                                                Phase detection, Geo-tagging, touch focus, face detection, HDR, panorama, Video (2160p@30fps, 1080p@30/60/120fps, gyro-EIS)                                                 "
,Front,"
                                                16 MP (Motorized pop-up ), f/2.0, 26mm (wide), Video (1080p@30fps)                                                 "
Connectivity,WLAN,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot                                                     "
,Bluetooth,"
                                                v5.0 with A2DP, LE, EDR, aptX HD                                                 "
,GPS,"
                                                Yes +  A-GPS support, & GLONASS, BDS, GALILEO                                                 "
,Radio,"
                                                FM Radio                                                 "
,USB,"
                                                Type-C 1.0 reversible connector, USB On-The-Go                                                 "
,NFC,"
                                                Yes                                                 "
,Data,"
GPRS, Edge, 3G (HSPA 42.2/5.76 Mbps), 4G LTE-A                                                 "
Features,Sensors,"Accelerometer, Compass, Fingerprint (under display), Gyro, Proximity                                                     "
,Audio,"
                                                3.5mm Audio Jack, MP4/H.264/FLAC player, MP3/eAAC+/WAV player, Speaker Phone                                                 "
,Browser,"
                                                HTML5                                                 "
,Messaging,"
                                                SMS(threaded view), MMS, Email, Push Mail, IM                                                 "
,Games,"
                                                Built-in + Downloadable                                                 "
,Torch,"
                                                Yes                                                 "
,Extra,"
                                                Active noise cancellation with dedicated mic, Document editor, Photo/video editor                                                 "
Battery,Capacity,"(Li-Po Non removable), 3765 mAh                                                     "
,,"
                                                 - Fast battery charging 20W (VOOC Flash Charge)
                                                 "
